time_s,x,y,dist,yaw_err,left,right
18.8,-0.0010145570424539474,-0.0021109312607234766,10.00101477982139,-0.9997934630617811,500000.0,-500000.0
18.900000000000002,0.002195733158175968,-0.00420632714888919,9.997805151695479,-0.9847415314253939,500000.0,-500000.0
19.0,0.010619297906677575,-0.010039820031484691,9.98938574734907,-0.9437578310591266,500000.0,-500000.0
19.1,0.022636725936564427,-0.019317534746872794,9.977381974735584,-0.8816648189247908,500000.0,-500000.0
19.200000000000003,0.036577300287664934,-0.031789908030399036,9.963473414999191,-0.8031857814360713,500000.0,-500000.0
19.3,0.0509219142094938,-0.04714763042251259,9.949189798984204,-0.7124518835961149,500000.0,-500000.0
19.400000000000002,0.06441731138407497,-0.06499497015568184,9.935795273075527,-0.6128075913913709,500000.0,-500000.0
19.5,0.0761102599972597,-0.0848722061918251,9.924252660181295,-0.5068199201375622,500000.0,-500000.0
19.6,0.08532094034118601,-0.10628382127743229,9.915248716330938,-0.39638971302661474,500000.0,-500000.0
19.700000000000003,0.09159162122330304,-0.12871266295215544,9.909244348093173,-0.2828931745428136,500000.0,-500000.0
19.8,0.09464179905161796,-0.1516310850900479,9.906518716232304,-0.16731404040623532,500000.0,500000.0
19.900000000000002,0.13158366517171327,-0.1655801305630448,9.869805354572248,-0.06500602344989495,500000.0,500000.0
20.0,0.23300893559979458,-0.16846647774944926,9.768443857964213,0.01613070653887083,500000.0,500000.0
20.1,0.3893695061043051,-0.16767320046696663,9.612093049505535,0.082253673785926,500000.0,500000.0
20.200000000000003,0.5897453947030072,-0.1676301401086272,9.411747531696019,0.1373699890234193,500000.0,500000.0
20.3,0.8247598693240812,-0.17057812868187236,9.176825614206171,0.18420517780320342,500000.0,500000.0
20.400000000000002,1.0872125892026105,-0.1776023918533418,8.914556749477814,0.22472767315743983,500000.0,500000.0
20.5,1.371409836356169,-0.18947054278091754,8.630670153511417,0.26043312126168106,500000.0,500000.0
20.6,1.6723702555141817,-0.20693759346685883,8.33020049751714,0.2925167231731155,500000.0,500000.0
20.700000000000003,1.9855102585030553,-0.23050122920300894,8.01780372877909,0.32194660990040364,-500000.0,500000.0
20.8,2.2795386919723004,-0.2481228090986276,7.724447406588239,0.3352354666008455,-500000.0,500000.0
20.900000000000002,2.5293411954588754,-0.24890323059403924,7.474804063791102,0.3176430822767342,-500000.0,500000.0
21.0,2.7466274020670363,-0.23784274719003282,7.257271058520255,0.2738311751482869,500000.0,500000.0
21.1,2.9674499627128816,-0.22859015564940777,7.036264171149834,0.22261875493372918,500000.0,500000.0
21.200000000000003,3.2227927264266194,-0.23054895988504476,6.781127579678767,0.1814214789665307,500000.0,500000.0
21.3,3.5011357156753653,-0.23911817077467584,6.503261834315528,0.1480529289465452,500000.0,500000.0
21.400000000000002,3.7939783908354467,-0.251556503491506,6.211117845272803,0.12093669348046872,500000.0,500000.0
21.5,4.096603357229449,-0.2663127855003867,5.909400512877393,0.09898448454405478,500000.0,500000.0
21.6,4.406909514671921,-0.2825121739285587,5.600220915775139,0.08143650272609146,500000.0,500000.0
21.700000000000003,4.723931355029237,-0.2995947780140019,5.284567851533073,0.06774667809001705,500000.0,500000.0
21.8,5.046843883581926,-0.31705678772590723,4.963293313945172,0.057514012809037535,500000.0,500000.0
21.900000000000002,5.374529586619492,-0.33434417675607175,4.637538417478516,0.05043712769429204,500000.0,500000.0
22.0,5.705494159593052,-0.35092866112771565,4.308820179409937,0.04630505501615092,500000.0,500000.0
22.1,6.038092827112307,-0.36647173259929655,3.978820174043215,0.04503401835270899,500000.0,500000.0
22.200000000000003,6.370984786248634,-0.38085544066744775,3.6489453665853735,0.04670256337263048,500000.0,500000.0
22.3,6.703466353070537,-0.39404354120608237,3.3200006623047975,0.051569445622625956,500000.0,500000.0
22.400000000000002,7.035547223889357,-0.4059237485592481,2.992115363991584,0.060112237260026166,500000.0,500000.0
22.5,7.367804312792866,-0.4162783431746669,2.664909340812194,0.07313788878401012,500000.0,500000.0
22.6,7.700957543664024,-0.4248975142500838,2.337976499807314,0.09202440777221316,500000.0,500000.0
22.700000000000003,8.035361000670688,-0.43169317831616166,2.011508239578051,0.11917909371022228,-500000.0,500000.0
22.8,8.336293299725305,-0.43625357855472807,1.719952664854681,0.13871579381725013,-500000.0,500000.0
22.900000000000002,8.586061904527025,-0.43889713108007467,1.4804903341461113,0.137850751805658,-500000.0,500000.0
23.0,8.799448978062431,-0.4405281518350532,1.2788228215177226,0.12320638636071063,-500000.0,500000.0
23.1,8.985643877588462,-0.44197280905057573,1.1064620675892274,0.1017435928723251,-500000.0,500000.0
23.200000000000003,9.150179788441964,-0.4439356827043237,0.958787402060905,0.08016095275022217,-500000.0,500000.0
23.3,9.296311712952393,-0.44707514424750433,0.8336986205649627,0.06446759625889387,-500000.0,500000.0
23.400000000000002,9.426235850549366,-0.45200662119117513,0.7304213063674085,0.05957955395620973,-500000.0,500000.0
23.6,9.645967423099627,-0.46901303345859613,11.709658157420915,-0.34513156719773846,500000.0,500000.0
23.700000000000003,9.76748444923927,-0.454886825611185,11.595695959138746,-0.44264511611291213,500000.0,-500000.0
23.8,9.905833373694504,-0.42437448339786105,11.459321027694331,-0.5068211722043314,500000.0,-500000.0
23.900000000000002,10.040727243049401,-0.4043200308894041,11.331098307031443,-0.5325866971173382,500000.0,-500000.0
24.0,10.172213261920307,-0.3911671303764801,11.20937443378652,-0.5268153462090428,500000.0,-500000.0
24.1,10.300276830941087,-0.3825967817453037,11.093104960795836,-0.4938252646311627,500000.0,-500000.0
